secondary_filter,bar_categories,all,agriculture,conservation,construction,education,emergency,government,infrastructure,insurance,manufacturer,other,photo,real estate,research,scientific,utilities
exemptions,Sep-14,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
exemptions,Oct-14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
exemptions,Nov-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exemptions,Dec-14,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1
exemptions,Jan-15,8,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1
exemptions,Feb-15,16,4,0,0,0,1,0,0,1,0,0,5,1,0,0,3
exemptions,Mar-15,30,6,0,1,0,0,0,0,0,1,0,5,1,0,0,16
exemptions,Apr-15,178,17,0,8,10,3,1,0,4,12,3,70,13,0,0,37
exemptions,May-15,249,31,3,17,10,4,0,0,3,3,1,101,36,2,1,37
exemptions,Jun-15,219,13,1,15,8,4,4,0,2,1,2,93,34,0,1,40
exemptions,Jul-15,275,23,8,19,4,3,4,0,1,4,1,113,58,0,3,34
exemptions,Aug-15,391,25,1,25,8,5,2,0,1,4,2,200,82,0,4,32
exemptions,Sep-15,356,23,1,47,2,8,5,0,1,2,0,154,81,1,3,25
exemptions,Oct-15,323,25,0,32,5,2,6,0,4,7,1,148,72,0,1,18
exemptions,Nov-15,352,30,0,33,3,7,0,0,2,3,3,145,87,5,3,29
exemptions,Dec-15,324,19,4,36,1,4,1,0,9,0,1,124,97,0,1,25
