"state","count"
"AL","122"
"AZ","340"
"AR","3546"
"CA","53"
"CO","3362"
"CT","26"
"DE","33"
"FL","50"
"GA","60"
"ID","1038"
"IL","31471"
"IN","28246"
"IA","32830"
"KS","21459"
"KY","3619"
"LA","333"
"ME","34"
"MD","46"
"MA","31"
"MI","23056"
"MN","28215"
"MS","183"
"MO","27649"
"MT","2129"
"NE","23371"
"NV","255"
"NH","28"
"NJ","27"
"NM","643"
"NY","83"
"NC","51"
"ND","16760"
"OH","21969"
"OK","6357"
"OR","53"
"PA","454"
"RI","21"
"SC","43"
"SD","18506"
"TN","936"
"TX","644"
"UT","1324"
"VT","26"
"VA","60"
"WA","48"
"WV","456"
"WI","28557"
"WY","3686"
